project,detector,file,function,info,found_in_audit
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-inputs,aes_256_ctr.circom,AES256CTR,ctr[1..128],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-outputs,aes_emulation.circom,EmulatedAesencSubstituteBytes,out[0..16],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-subcmp-inputs,aes_256_encrypt.circom,AES256Encrypt,bits2num_1[0..208].in[0..8],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-subcmp-inputs,aes_256_encrypt.circom,AES256Encrypt,num2bits_1[0..208].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-subcmp-outputs,aes_256_ctr.circom,AES256CTR,aes_256_encrypt_1[0].out[1..128],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-subcmp-outputs,aes_256_encrypt.circom,AES256Encrypt,xor_1[0..128].out,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,uc-subcmp-outputs,aes_256_encrypt.circom,AES256Encrypt,xor_3[0..1536].out,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,wit-constr-diff,aes_256_encrypt.circom,AES256Encrypt,bits2num_1[0..208].out:num2bits_1[0..208].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_ctr_test,wit-constr-diff,aes_emulation.circom,EmulatedAesencSubstituteBytes,in[0..16]:out[0..16],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,uc-outputs,aes_emulation.circom,EmulatedAesencSubstituteBytes,out[0..16],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,uc-subcmp-inputs,aes_256_encrypt.circom,AES256Encrypt,bits2num_1[0..208].in[0..8],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,uc-subcmp-inputs,aes_256_encrypt.circom,AES256Encrypt,num2bits_1[0..208].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,uc-subcmp-outputs,aes_256_encrypt.circom,AES256Encrypt,xor_1[0..128].out,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,uc-subcmp-outputs,aes_256_encrypt.circom,AES256Encrypt,xor_3[0..1536].out,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,wit-constr-diff,aes_256_encrypt.circom,AES256Encrypt,bits2num_1[0..208].out:num2bits_1[0..208].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_encrypt_test,wit-constr-diff,aes_emulation.circom,EmulatedAesencSubstituteBytes,in[0..16]:out[0..16],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[32..36].in[0..8],Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[100..104].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[120..124].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[140..144].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[160..164].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[180..184].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[200..204].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[220..224].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[240..244].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[260..264].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[280..284].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[40..44].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[60..64].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,uc-subcmp-inputs,aes_256_key_expansion.circom,AES256KeyExpansion,num2bits_1[80..84].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[112..116].out:num2bits_1[140..144].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[128..132].out:num2bits_1[160..164].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[144..148].out:num2bits_1[180..184].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[160..164].out:num2bits_1[200..204].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[176..180].out:num2bits_1[220..224].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[192..196].out:num2bits_1[240..244].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[208..212].out:num2bits_1[260..264].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[224..228].out:num2bits_1[280..284].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[32..36].out:num2bits_1[40..44].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[48..52].out:num2bits_1[60..64].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[64..68].out:num2bits_1[80..84].in,Yes
zksolid-paper/benchmarks/aes-circom/aes_256_key_expansion_test,wit-constr-diff,aes_256_key_expansion.circom,AES256KeyExpansion,bits2num_1[80..84].out:num2bits_1[100..104].in,Yes
